town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
Sheffield,0.031,0.013,8.3,270.2,,11.2,495.9,,0,27.9,50,69.5,1814,2524,50.3,0.79,20,6.4,147.4,15.4,12.1,37.6,2.9,2.28,31.1,12.4,10.1,25501,-0.21,0.3,27.6,48.8,66.8,,0.098,37.8,19,130,18.3,5.1,0.51,-0.006,104,,0.115,,85,10.7,,42.7,129.8,3.3,0.87,19.2,80.8,,,485,,2267,0.51,28.6,2162,45,618,small
Shelburne,0.198,0.021,9.5,243,,11.4,551,,0.019,63.9,40,57.6,1004,1600,50.7,,,7,114.9,15.8,28.6,55.2,7.5,2.18,33.7,22.8,9,17742,-0.04,0.5,68.7,50.1,68.5,,-0.135,33.8,23.6,99,10.5,6.2,0.08,0.003,39,84,0.069,,79.8,22.2,,44.1,374.1,6,0.876,9.5,90.5,,,376,5.2,1379,0.16,28.7,1174,61,468,negative
Sherborn,0.041,-0.066,7.8,102,36,9.8,469,17.3,0.023,160.7,155,64,3570,5363,51.3,1.98,106,8,72.1,58.3,1.9,18.8,4,2.86,15.1,33.6,6.1,150435,-0.02,0,7.3,44.6,76.7,18.4,0.282,12.1,11.1,332,38.6,6.2,2.31,0.01,166,67,0.115,15720,95.1,18.9,-0.167,53.9,16.8,4.1,0.898,8.5,91.5,92381,0.25,359,4.8,3140,0.23,25,2963,57,745,medium
Shirley,0.209,-0.134,9.8,156.7,19.3,9.7,376.6,,0.107,38.6,29,52.2,766,1305,41,2.2,29,12.7,74.5,5.5,15.1,19.6,6.6,2.54,24.5,17.3,4.6,23421,0.13,1.5,11.1,38.9,80.6,,0.294,28.7,34.9,97,19.3,7.4,0.69,0.008,37,59,0.186,,89.1,23.6,,36.4,15.1,8.7,0.92,16.6,83.4,54213,,297,24.5,4095,1.07,20.6,3700,16,2858,small
Shrewsbury,0.184,-0.063,9.3,206.7,19.3,8.6,463.4,22,0.134,98.9,44,52.7,1302,2470,51.2,3.29,81,13.9,45.2,0.8,6,13.7,7.3,2.62,24.6,20.9,6.2,41874,-0.02,0.2,10.4,38.8,68.3,31.1,0.243,14.9,31.6,111,14.8,4.5,2.36,0.003,171,76,0.13,11318,86.9,19,0.018,41.6,16.2,23.9,0.854,6.7,93.3,72532,0.39,300,1.7,23216,0.75,27.4,21131,31,10230,medium
Shutesbury,0.037,-0.051,7.9,536.4,,10.1,543.2,14.9,0.002,54.2,30,60.3,1788,2839,52.3,1.8,51,11.6,90.1,5.6,18.6,14,13.9,2.48,23.4,46.3,2.6,21163,0.01,0,5.6,45.4,77.1,21.1,0,20.3,18.2,99,,3.5,7.31,0.003,36,,0.107,15436,96.9,20.9,-0.094,26.3,123.9,15.3,0.913,8.2,91.8,57637,0.17,339,,1477,1.65,44.9,1330,76,447,negative
Somerset,0.058,,8.1,258.2,24.7,10,497.9,20.2,0.004,131.2,36,55.7,1502,2604,52.5,3.85,100,18.8,68,0,4.8,18.9,3.7,2.53,23.4,7.5,14.9,25318,-0.02,0.6,16,44.4,64,6.6,0.415,32.1,50.1,133,21.3,5.1,1.12,0.001,10,163,,12447,70.6,35.5,-0.337,58.1,1.6,9.1,0.978,7.7,92.3,,0.47,326,19.1,13406,0.19,38.9,11122,6,4558,small
Somerville,0.838,,12.4,24.2,54.2,9.4,393,17.8,0.263,69.2,29,27.9,665,2032,50.9,9.18,187,23.3,19.8,10.7,5.4,69.5,12.5,2.29,32,21.9,7.5,27132,0.05,1.1,15.4,30.7,28.7,63.9,-0.149,9.7,22.4,163,19.9,8,-0.26,0.01,860,224,,16506,84.9,10.1,0.009,25.9,0.1,21,0.903,12.6,87.4,80144,0.37,156,34.8,49047,0.18,53.4,42200,78,26527,medium
South Hadley,0.248,-0.073,7.9,358.6,37.2,9.8,435,16.7,0.14,76.9,57,51,1088,2131,59,,,17.4,73,1.7,13.9,24.6,5.7,2.25,32.2,,11.9,25663,-0.01,0.6,16,40,53,15.3,0.071,17.2,23.8,134,17.6,6.3,0.73,-0.002,149,190,0.1,13310,90.5,14.1,-0.105,44.4,52.6,29.2,0.928,10.4,89.6,64819,0.32,285,23.8,11211,0.23,31.7,10059,33,3793,small
Southampton,0.047,-0.02,6.4,486.9,29.4,10.5,480.3,18.2,0.028,44.9,20,61.3,1450,2287,51.5,1.35,31,10.9,147.2,3.5,7.2,6.1,4.3,2.58,20.3,16.8,8.2,32298,0.06,0.2,22.4,42.8,78.7,8.8,0.337,39,28,131,,5.7,3.18,-0.002,20,115,0.173,10074,93.9,19.9,-0.009,42.8,183.4,21.8,0.954,5.1,94.9,64206,0.24,446,5.1,4283,0.89,24.2,4194,10,1330,medium
Southborough,0.117,-0.068,9.7,111.6,28.6,8.6,459,18.7,0.074,125.7,50,56.4,2447,4342,50.5,4.15,180,13.7,53,2,3.5,12.5,7.5,2.89,15.4,27.8,6,107414,0.09,0.1,15.4,42.3,95.8,19.7,0.053,14.1,24.6,164,18.3,3.8,2.54,0.003,97,70,0.088,14831,80.7,17.9,-0.109,42.2,8.2,11.5,0.901,10.8,89.2,75961,0.48,359,3,7071,0.98,22.6,6665,42,2070,medium
Southbridge,0.34,-0.213,12.6,108.9,118.6,10.6,406.8,19.5,0.031,124.4,28,53.6,1443,2524,51.8,4.49,113,12.4,60.5,49.6,0,50,10.2,2.41,30.4,7.2,6.3,18177,0,1.8,22.1,36.6,48.1,43.8,-0.144,20.2,35.7,160,21.4,6.3,-0.05,0.003,34,256,0.153,12894,77.1,12.6,0.073,35,6.6,40.1,0.951,16.9,83.2,58909,0.35,274,37.2,11168,0.48,36.2,7261,15,4234,medium
Southwick,0.115,-0.076,7.9,741.9,,11.2,456.7,,0.048,96.2,44,47.5,865,1781,50.4,1.82,32,8.5,137.6,1.1,23.9,10.6,4.9,2.56,24.2,10.3,10.1,30607,-0.01,0.2,28.4,43,75.8,,0.166,36.3,36.4,156,22,8.8,2.33,0.001,35,153,0.14,,88.8,18.3,,50.8,252.4,5.3,0.926,5.9,94.1,,,416,15.6,6401,0.86,22.2,5732,-15,2194,negative
Spencer,0.166,-0.206,10.6,480,53.7,10.3,412,,0.016,110.9,34,50.8,662,1219,50.1,2.53,31,11,113.2,5.1,21.1,36.9,5.3,2.45,26.9,13.6,6.1,23487,0.03,1.1,17.1,40.5,66.5,,0.107,33.5,33.3,142,17.9,11.6,0.66,0.003,7,181,0.159,,87.1,22.6,,38.6,237.9,10.2,0.941,8.9,91.1,,,366,19.4,7843,0.36,25.8,6412,-5,2760,small
Springfield,0.283,-0.087,14.9,76.6,163.2,11.8,363.3,17.3,0.045,48.3,80,61.6,2116,3208,52.6,3.59,115,9.2,30.1,5.4,6.6,45.2,21.8,2.6,30,7.4,6.6,13136,0,6.3,12.8,32,34.6,86.7,-0.063,10.1,58.2,234,35.7,7.3,-0.06,0.001,173,459,0.006,14548,72.6,6.8,-0.003,34.4,6.8,55.7,0.938,16.4,83.7,58503,0.37,209,103.9,94641,0.29,52.6,54373,47,38388,small
Sterling,0.09,-0.164,8.6,324,51.1,9.3,461.3,,0.038,83.5,,,,,50.8,,,,97.8,3.8,16.5,13.8,4,2.73,18.1,21.6,9,38982,0.01,0.3,14.1,42.8,95.5,,0.208,34.2,34.9,,22.9,,2.6,0.003,59,114,0.031,,86.2,29.8,,40,93.2,7.7,0.917,12.4,87.6,,,405,17.7,5920,0.91,18.2,5451,7,1671,small
Stockbridge,0.137,-0.099,4.1,472.5,253.1,10.8,571.1,,,204.9,88,35.4,1304,2980,53,1.31,39,9.9,111.6,56.5,10.9,42.4,0.6,1.97,39.8,19.2,21.6,29347,-0.07,0.5,102.7,46.5,52,,-0.411,16.9,18.5,233,30.6,7.8,-0.16,-0.006,85,276,0.105,,90,8.2,,48.6,82.6,1.5,0.848,,88.3,,,372,30.7,1547,-0.24,44.2,1363,63,313,small
Stoneham,0.282,-0.071,10.6,59.2,63.3,8.8,492.9,16.5,0.188,98.1,74,40.7,1119,2587,52.7,4.19,108,21.1,44.9,31.7,9.6,26.8,5.4,2.36,31.9,13.3,9.2,34028,0.01,0.7,11.7,43.7,48.7,13,0.076,15.2,28.6,140,17.6,5.4,0.62,0.01,134,119,0.115,13226,88.1,18.1,-0.113,42.5,0,12.4,0.84,9.5,90.5,61959,0.31,294,13.3,15285,0.24,32.8,14322,23,5355,medium
Stoughton,0.242,-0.174,10,95.7,47.5,9.4,475.8,17.2,0.157,132.5,39,57.6,1371,2317,52.1,5.39,125,7.7,38.7,0.7,0.2,16.8,10.5,2.59,25.6,15.4,10.1,27917,-0.01,0.9,15.6,43.2,59.6,31.4,-0.037,16.3,54.8,168,19.9,7.3,1.42,0.007,140,222,0.131,11960,78.5,21.1,-0.028,43.4,1.1,18.2,0.938,7,93,69366,0.48,317,32.5,18151,0.24,35.3,15623,33,6667,medium
Stow,0.135,-0.086,9.7,300.5,21,9.5,488.9,,0.101,64.6,44,64.5,2120,3245,50.8,2.49,81,7,68.2,7.6,22.2,18,5.9,2.71,17.4,25.9,7.3,56053,0.06,0.3,13.7,42.3,85.7,,-0.041,24.7,18.1,186,24.1,5.7,2.88,0.01,102,94,0.099,,91.2,21.9,,43.6,22.5,3.8,0.961,7.1,92.9,,,367,3,5032,0.79,23.2,4964,46,1722,medium
Sturbridge,0.107,-0.156,8.4,603.2,47.3,9.1,475.9,21.8,0.056,231.1,46,55.2,1590,2882,50.7,3.62,104,9.4,101.9,3.2,13.6,15.1,5.5,2.56,22.6,18.7,4.1,36967,0.01,0.3,35.6,40.4,97,11.3,0.123,26.7,23,195,24.7,6.8,2.3,0.003,21,189,0.196,11769,81.3,16.5,0.038,45.7,53.8,10.1,0.955,8.5,91.5,67781,0.25,370,30.9,6631,1.21,24.5,6093,15,2725,medium
Sudbury,0.04,-0.059,7.8,108.2,9,8.4,444.9,20.5,0.035,85.3,73,64.9,2805,4307,51.2,4.16,179,12.3,32.8,3.4,3.9,9.6,5.2,3.02,11.9,33.2,8.4,98133,-0.12,0.1,11.9,41.8,79.2,16,0.093,13.9,21.5,149,18,3.5,5.8,0.01,317,42,0.107,12899,92.9,14.7,-0.068,57.5,2.8,8.4,0.948,6.3,93.7,64999,0.38,319,0.6,12412,0.44,27.6,12354,54,3858,medium
Sunderland,0.143,-0.043,7.6,211.7,,10.1,468.8,16.6,0.036,54.6,30,58.2,1064,1724,50.8,1.14,20,7,72.5,2.7,2.8,16.1,7.5,2.21,29,24.1,5.3,23816,0.01,0,27.1,30.5,55.2,27.9,0.029,19.5,10.9,83,13.5,4.8,3.07,0.004,19,,0.063,14058,88,9,-0.145,22,159.6,19.6,0.949,9.4,90.6,62552,0.14,272,,2540,1.08,35,2050,59,747,negative
Sutton,0.097,-0.11,7.3,422.8,60,9.6,465.4,19.8,0.047,87.8,18,55,1565,2775,50.7,1.34,37,13.2,129.5,4.5,14.3,25,4.7,2.79,16.9,18.4,8,42147,0.03,0.2,10,41.7,95.5,7.1,0.186,32,33.9,159,22.2,5.7,1.89,0.004,40,127,0.205,11329,88.3,25.5,-0.053,38.8,72.3,22.1,0.884,5.4,94.6,68529,0.38,395,11,6833,1.1,17.5,6318,0.16,1970,small
Swampscott,0.305,-0.137,9.1,189.3,30.2,8.6,457.1,21,0.187,70.5,47,47.6,1735,3466,53,6.08,211,16.2,46.1,3.6,3.2,48.4,4.4,2.46,25.9,18.7,7.2,60646,0.12,0.9,13.1,44.4,45.8,14,-0.172,12.3,21.2,232,23.8,6.7,0.19,0.008,120,,0.134,13746,92.7,23.4,0.002,47,0,6.3,0.898,5.6,94.4,69684,0.32,300,,10257,0.13,32.4,9572,45,3066,medium
Swansea,0.032,-0.156,7.1,421.7,39.7,10.5,491.8,16.8,0.004,156.4,21,55,1174,2073,51,1.8,37,19.6,82.2,19.5,7.5,20.5,4.3,2.57,21.4,7.4,11.7,26821,-0.13,0.7,18.9,45,70.7,4.9,0.287,41.3,47,193,22.6,9.3,1.59,0.001,10,240,0.159,11504,84.2,42.2,-0.012,47.6,5,17.7,0.916,6.1,93.9,61142,0.41,387,26.2,11892,0.38,33.1,10034,-4,3984,medium
Taunton,0.326,-0.189,12.4,178.8,80.6,10.1,429.9,21,0.107,116.4,35,45.3,1213,2636,52.1,6.34,167,26.4,57.9,17,8.6,34,14.1,2.47,28.9,9.4,6.7,21036,-0.01,2.1,14.5,38.4,57.6,26.9,0.103,22.9,43.6,191,19.6,7.3,0.39,0.001,48,151,0.23,11417,78,40.6,-0.023,35,3,31.3,0.932,14.5,85.5,74147,0.33,310,47.5,35281,0.46,33.6,26773,14,14402,medium
Templeton,0.094,-0.221,9.9,233.4,49.8,10.2,414.3,,0.031,74.5,,,,,49.5,,,,111,5,16.1,28.6,6.1,2.7,19.8,17.4,8,21829,-0.05,0.5,21.2,41.7,95.6,,0.234,30.9,31.9,,18.6,,0.68,0.003,30,85,0.078,,88.4,23,,43.8,225.2,8.6,0.933,10.2,89.8,,,379,13.6,5174,0.71,20.6,4495,-5,2159,small
Tewksbury,0.241,-0.089,9.1,105,41.7,8.9,471.5,20.6,0.175,115.2,34,47.9,1404,2772,51.5,4.84,134,21.3,60.7,0.3,4.7,6.6,4.9,2.7,21.5,17.3,9.1,33175,0.05,0.4,13.5,42.2,74.8,6.9,-0.085,25.3,54.8,178,23.7,6.4,2.86,0.01,36,209,0.239,12291,80.6,20.2,-0.137,43.5,1.7,15,0.905,5.1,94.9,70175,0.32,351,33.2,21503,0.65,28.1,19137,6,7386,medium
Tisbury,0.119,,9.4,1623.2,,13,614.8,17.1,,77.5,120,43.8,2356,5386,51.2,1.04,56,16.8,60.7,12.7,12.7,30.1,7.8,2.19,35.9,22,6.9,49470,-0.18,1.5,27.9,47.6,54.7,28.8,-0.19,33.4,16.1,357,35.2,6.6,1.05,0.014,336,285,,20212,88.9,111.9,0.078,39.3,0,3,0.951,,93.5,78323,0.27,690,17.3,3386,0.86,36.4,2835,59,1071,large
Topsfield,0.037,-0.096,6.4,190.6,22.8,9.6,455.5,15.8,0.016,80.9,112,44.7,1954,4253,51.7,2.19,93,9.9,83,13.1,9.9,10.8,6,2.84,16.7,20.7,4.2,57151,-0.2,0.2,3.3,43.8,77.2,6.6,0.065,18.7,36.4,216,21.2,5.1,3.31,0.008,101,,0.12,13152,91.7,28.3,-0.118,58.9,6.5,8.9,0.91,5.7,94.3,67057,0.33,369,,4702,0.34,18.5,4144,21,1077,medium
Townsend,0.106,-0.202,9.7,197.2,64.3,10.1,458.7,,0.07,87.9,23,55.1,992,1658,50.6,4.89,81,9,88,0,15.1,16.3,4.1,2.75,18.4,18.4,3.8,29308,0.05,0.9,11.2,39.5,90.1,,0.124,41.6,39.8,132,16.7,7.9,2.17,0.01,20,,0.068,,90.2,28.9,,32.4,38.8,7,0.947,13.9,86.2,,,399,,6212,0.71,16.4,5476,1.2,2238,small
Truro,0.194,-0.107,6,1078.4,89.9,10.9,526.7,19.2,0.133,117.8,667,28.8,2040,6505,50.6,1.82,119,16.6,139.9,20,0,17.4,1.3,2.03,33.3,30,4.9,34636,0.13,0,69.9,53,69.6,16.1,0.152,37.9,13.2,649,69.5,10,2.03,0,80,198,0.134,20636,93.6,96.9,0.007,38.7,15,2.6,0.985,7.9,92.1,61180,0.4,592,19.8,1760,0.66,37.9,1762,59,309,large
Tyngsborough,0.207,-0.117,11.3,194.8,40.3,9.3,472.1,20.3,0.148,114.8,30,54,1544,2686,51.2,1.66,45,15.6,71,1.8,10,11,5.9,2.82,18.2,18.2,5.2,36269,0.1,0.6,28.3,40.4,79.4,14.4,0.019,28.6,45.8,218,25.5,8.1,4.48,0.011,56,,0.139,,85.9,21.3,-0.104,32.7,12.3,23.7,0.89,8.4,91.6,64795,0.42,384,,8260,1.43,23,7545,9,3022,medium
Tyringham,0.034,-0.031,6.1,1284.4,,10.6,470.9,,0,91.7,8,22.6,832,3122,52.6,2.46,77,18.6,289.2,91.7,0,24.4,0,2.25,23.9,22,17.4,20034,-0.35,0,30.6,55.9,83.1,,-0.385,24.5,7.2,183,,5.9,0.39,-0.006,13,,0.02,,93.4,24.5,,39.4,953.8,4.4,0.967,11.3,88.7,,,514,,310,0.23,25.8,314,52,31,large
Upton,0.087,-0.115,9.3,244,15.9,9.4,436.1,,0.036,88.8,30,58,1283,2212,51,3.37,75,7.6,100.9,2.7,21.2,24.6,4.6,2.76,19.5,19.7,3.5,41233,-0.12,0.1,9.3,42.3,102.6,,0.086,31.8,21.2,201,,9.1,1.84,0.004,35,98,0.19,,93.7,28.6,,39.1,21.1,2.8,0.908,10.2,89.9,,,376,10.5,5142,1.18,19.3,5300,22,2218,medium
Uxbridge,0.273,-0.15,10.3,226.6,53.3,9.8,466.2,19.5,0.16,90,34,55.7,1480,2657,50.2,1.34,36,17.5,104.1,38.6,14.8,25.8,5.8,2.65,21.8,16.1,7.6,30398,-0.07,0.3,15.6,40.8,94.9,8.2,0.359,37.4,34.8,125,17,4.7,0.92,0.003,33,111,0.2,12074,85.3,27.9,-0.073,37,17.8,27.8,0.895,5,95,68804,0.27,371,13.9,10140,1.17,22.2,8727,3,3655,medium
Wakefield,0.249,0.007,12.6,92.7,27,9,466.7,19.3,0.122,60,46,47.8,1124,2307,51.9,5.96,138,25.5,49.1,36.9,5.1,41.4,3.2,2.47,28.1,16.1,9.9,36357,-0.04,0.3,9.6,41.8,54.4,10.1,0.028,18.9,30.9,146,17.5,6.3,0.27,0.01,102,122,0.186,12512,84.4,16.1,-0.004,37.9,0.8,10.8,0.921,7.8,92.2,63623,0.37,322,26.4,17295,0.13,30.5,16623,25,7259,medium
Wales,0.051,-0.122,8.2,674.6,16.3,11.4,459.2,14.9,0.002,22.3,31,59.6,1180,1912,49.3,0.59,11,14.5,179.4,0,35.5,20.3,3.4,2.5,27,15.1,2.8,20918,0,0.5,10.9,43.6,92.1,12.2,-0.061,50.6,39.4,28,,1.4,2.7,0.001,13,27,0.11,11994,91.9,17.4,-0.138,35.7,135.9,24.4,0.961,15.3,84.7,64310,0.25,436,5.4,1297,1.1,18.6,1087,-17,493,negative
Walpole,0.175,-0.085,9.8,112.2,19.4,9.1,431,21,0.119,91,68,50.9,1432,2816,50.9,4.82,136,17.5,39.6,0.8,1.7,17.9,4.4,2.69,22.9,20.1,8.9,41680,-0.07,0.3,15.8,42.7,70.4,14.7,0.178,17.6,31.5,173,16.1,6.1,1.64,0.007,127,153,0.208,12021,85.9,18.6,0.023,48.7,1.2,11.9,0.871,8.1,91.9,66024,0.34,346,5.3,17050,0.5,24.2,16166,20,6293,medium
Waltham,0.385,,13.1,44.4,31.2,9.2,437.6,16.1,0.197,117,55,43.3,1036,2357,50.2,9.16,216,11.9,23.8,18,4.5,38.8,10.1,2.28,34.9,18.8,7,28382,-0.03,0.8,15.7,34,46,50.6,-0.122,12,26.6,214,28.5,9.1,0.28,0.009,406,138,,18899,66.8,11.4,0.073,28.2,0.5,6.8,0.868,14.5,85.5,67907,0.42,256,23.7,35565,0.3,35.2,28896,44,18221,medium
Ware,0.15,-0.09,11.6,421.4,37.5,11.6,410.3,21.5,0.004,99.2,35,49.3,1266,2531,50.9,3.25,82,17.9,135.5,6.1,9.6,41.6,6.3,2.39,29.1,15.2,14,21823,0,1.2,21.3,43.1,59.9,11.5,-0.016,31.9,32,157,13.1,6.2,0.31,-0.002,3,201,0.129,11919,85.2,21.5,0.043,38.4,97.4,39.7,0.927,10.8,89.2,56397,0.3,383,41.2,6410,0.28,31.3,4951,-1.8,2535,small
Wareham,0.077,-0.232,9.9,1076.9,120.3,10.4,462.1,17.3,0.038,131.1,20,63,1333,2118,51.9,,,7.4,88.3,1.8,7.6,22.8,13.8,2.38,29.7,12.4,5.8,20800,-0.09,1.8,23.4,44.9,76.5,25.3,0.244,28.5,43.2,218,26.9,10.3,1.88,0.005,60,406,0.08,11953,82,60.4,-0.119,42.3,5,24,0.945,7.5,92.5,60003,0.3,386,68.7,15091,0.33,26.7,12726,11,5426,medium
Warren,0.155,-0.215,9.5,261,,10.8,411.5,,0.014,81.4,42,47.5,635,1300,50.2,2.98,39,9.7,134.7,7.8,37.7,46.1,5,2.54,25.4,13.5,7,16792,-0.04,0.8,19.5,42,74.4,,0.169,33.7,36.1,116,19.4,8.9,0.51,0.003,10,,0.026,,88.1,18.5,,37.9,67.9,9.1,0.954,8.6,91.4,,,362,,3203,0.36,24.5,2599,-9,1410,negative
Warwick,0.008,-0.094,3.8,371.8,,10.3,457.7,,0,71.8,35,51.4,1068,2077,50.1,1.4,29,8.6,162.2,0,30.3,34,2.3,2.37,23.7,21.9,7.3,20021,-0.01,0,,49.5,82.9,,0.04,33.3,30.4,32,,1.5,0.82,0.004,9,,0.049,,94.9,26.9,,26.9,293.7,11.1,0.939,21.2,78.9,,,433,,563,0.45,25,523,35,143,small
Watertown,0.694,,14.9,63,24.8,8.9,479.1,17.1,0.326,62.9,86,37.4,1062,2305,53.1,8.05,186,23.1,18.2,2.5,8.6,56.2,9.6,2.15,35.8,23.5,7.6,35554,0.02,0.3,17.5,38.8,38.5,29.2,-0.07,13.3,20,183,24,7.9,-0.15,0.01,502,162,,16493,81.2,11.1,0.068,33.7,0.9,8.5,0.855,8.3,91.7,71129,0.45,228,17.2,22517,0.15,44.3,19227,58,9697,large
Wayland,0.126,-0.091,7.6,158.5,4.6,8.6,483.5,18,0.113,81,150,48.7,2410,4758,51.7,3.7,176,17.6,45.2,3.1,4.4,19.1,4,2.69,20.2,34,8.6,136900,-0.03,0.2,13.1,46.3,66.8,26.3,0.129,14.2,19.3,174,22.2,3.7,1.95,0.011,443,38,-0.007,15902,94.8,16.7,-0.018,57.5,0.8,5.8,0.92,7,93,84238,0.39,317,6,9884,0.24,29.1,9302,61,3044,medium
Webster,0.264,-0.194,11.2,823,,10.2,460.2,20,0.054,81.1,,,,,51.6,,,,65.1,4.2,7.8,39.9,6.4,2.32,31.6,11.9,7.8,22257,-0.04,1.9,23.3,40.5,60.6,26.7,0.097,24.3,27.8,,20.2,,0.27,0.003,23,329,0.142,12786,83.9,16.9,-0.037,36.7,23.8,29.6,0.845,7.8,92.2,62586,0.38,294,66,11636,0.49,29.4,8298,0.08,4151,medium
Wellesley,0.077,-0.003,8.6,49.3,13.1,8.5,383.1,17.4,0.052,154.3,97,51.4,2098,4072,55.9,3.99,163,15.2,24.5,2.5,1.7,39.1,4.1,2.78,20.7,31.9,7.5,134245,-0.12,0,5.7,37.2,60.9,22.9,-0.169,5.3,15.3,188,19.9,4.6,0.36,0.006,791,74,0.231,15085,88,10.2,0.012,55.9,0.4,6.5,0.814,9.5,90.5,78731,0.52,272,4.2,18947,0.18,29.6,16342,57,5413,medium
Wellfleet,0.11,-0.07,6.5,2130.9,61.9,11,581.8,13.3,0.074,146.2,299,29.2,1704,5653,53.3,7.33,415,14.6,100.8,47.3,3.5,17.5,0.5,2.01,37.3,32.3,2.4,31815,-0.03,0,123.6,60.1,66.4,9.7,0.077,35.6,11,525,61.4,9.3,1.45,-0.001,97,195,0.164,22633,94.9,86.9,0.069,44.4,0,2.3,0.993,6.3,93.7,62809,0.17,590,21.6,2721,0.62,39.1,2516,59,536,large
Wendell,0.029,-0.035,5.9,294.8,,11.9,574.3,,,40.1,41,51,1219,1946,50.4,0.73,14,5.7,145.7,11.8,83.3,17.9,4.6,2.16,30.4,30.9,4.1,19980,-0.13,1.2,23.6,48.5,78.2,,0.029,41.3,15.3,26,,1.3,1.48,0.004,9,,0.08,,83.4,23.6,,21,105.8,10.7,0.854,,77.8,,,439,,684,0.72,32.2,614,62,163,medium
Wenham,0.074,-0.22,4.7,172.3,14.3,9.7,356.1,,0.027,79.8,146,55.8,1594,2856,54.7,3.44,98,6.7,52,16.4,5.3,22.2,0.7,2.67,23.2,25.2,5.9,76432,-0.13,0.2,,28.6,70.2,,0.056,11.7,19.1,209,20.4,7.3,1.97,0.006,67,67,0.052,,95.6,17.8,,61.3,0,2.3,0.778,8.6,91.4,,,248,6.1,2894,0.35,17.9,2608,38,666,small
West Boylston,0.192,-0.149,6.8,178.6,35.1,9.2,431.9,17.8,0.14,84.5,38,48.3,1273,2442,44.6,3.05,74,18.6,72.3,6.5,11,22.9,2.9,2.43,25.9,16.1,9.6,27780,0.01,0.1,17,40.4,70.9,10.9,0.117,21.1,27.5,151,23.3,6.2,1.98,0.003,48,133,0.07,12384,79.3,23.5,-0.104,45.5,44.2,18.5,0.948,12.2,87.8,74304,0.34,320,7.7,5099,0.38,20.6,4802,19,1758,small
West Bridgewater,0.083,-0.172,11.3,212.6,51.8,10.8,447.5,19.7,0.027,196.6,84,44.6,1431,3100,50.8,7.98,247,15.6,87.9,1.4,8.1,28.8,5.2,2.63,23.3,14.1,12.6,29948,-0.04,0.7,30.4,42.4,72.5,7.6,-0.062,30.8,47.1,284,30.2,9.1,0.7,0.005,7,214,0.146,10952,68.7,40.8,0.043,46.6,10.1,15.2,0.977,8,92,50616,0.44,424,12.8,5177,0.45,22,4625,-1,1742,large
West Brookfield,0.068,-0.217,9.5,791.7,,10.3,449.3,,0.01,31.3,61,52,795,1452,52.5,1.81,26,8.7,148.4,16.2,3.8,33.6,6.5,2.4,26.2,19.3,6.1,31101,0.08,0.3,24.3,46.9,79.7,,0.357,35.9,23,130,18.8,9,1.21,0.003,17,,0.044,,91.8,24.3,,44.2,193.9,8.9,0.985,9.5,90.5,,,409,,2524,0.52,23.3,2327,0.43,885,small
West Newbury,0.08,-0.117,5.2,384.9,16.4,9.7,464.7,,0.03,61.4,70,49.6,1301,2521,50.3,2.49,63,6.5,89.3,11.8,7.2,24.8,4.4,2.8,13.9,23.5,6.1,52043,-0.01,0.7,4.7,43.6,95.1,,0.452,25,18.6,179,16.4,7.1,1.65,0.008,58,58,0.152,,96.5,42.5,,39.7,2.3,2.2,0.883,7.8,92.3,,,376,25.5,3199,0.87,22.7,3270,32,839,medium
